Protein.IDs,flybase_gene,Entry,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
FBtr0070046,CG32350,Q8SX81,23306486.9611701,59328499.9999986,54846999.999999,74000749.9999997,13516424.0240957,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,19530439.7093124,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0070057;FBtr0070053;FBtr0070050;FBtr0345920;FBtr0070056;FBtr0070054;FBtr0070051,CG17450;CG32820;CG32819,Q8IRZ1,9302769.72872018,9125191.08642762,12360888.0120226,13255229.8420814,23622907.3087022,14373353.6634881,6207197.73677039,17277078.498326,6070075.48570048,6921744.82784738,7204423.35785502,16653891.1087017,363739999.999997,3858947.8446812,344764999.999999,3858947.8446812,566605000.000002
FBtr0077374;FBtr0070055;FBtr0070052,CG32500;CG33502;CG32857,Q8SY96,504690000.000005,473912499.999993,379585000.000003,372387500.000003,258917499.999998,310982499.999999,352860000.000004,331037500,380412500.000003,302682754.905945,328345000.000004,439699999.999999,572627500.000006,510334999.999999,419985000.000003,636047500.000017,545450000.000001
FBtr0070062;FBtr0070061;FBtr0070060;FBtr0070059;FBtr0070058;YBR229C,CG14476,Q7KMM4,9958599999.99982,9891299999.99987,11650750000,12796250000.0001,9193074999.99998,10985075000,8151924999.99992,8189775000.00018,6584075000.00003,8689349999.99998,9815399999.99999,9401950000.00006,7801324999.99996,7483600000.00013,6945774999.99987,5816450000.00008,3802124999.99999
FBtr0070063;FBtr0332992,G9a,A0A3Q7YRW7,14726480.3389429,14288520.9927816,7150590.13858445,14463202.6538264,15852827.5283731,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,5457556.22459941,12177484.0937602,6457360.47325372,15722319.769194,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0070065;FBtr0070064,cin,P39205,823657500.000011,1331999999.99996,1441499999.99999,1282749999.99998,778840000,660689999.999995,657682500.000004,446485000,749955000.000001,701032500.000004,705729999.999999,592790000.000006,334474999.999997,623537500.000007,661262500.000004,676297500.000009,259789500.000002
FBtr0344149;FBtr0342962;FBtr0070068;FBtr0070067;FBtr0070066,CG3777,O76874,3858947.8446812,3858947.8446812,3858947.8446812,120830620.630518,10157162.7750427,225258603.868808,24660016.4887778,48501520.7456754,705550000.000002,3677675000.00003,2591225000.00004,1902542499.99998,2443299999.99998,645095000.000003,131612499.999998,3858947.8446812,3858947.8446812
FBtr0070069,CG12470,Q9V3G9,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,11897475.104528,3858947.8446812,194234322.33396
FBtr0070071,y,P09957,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,68836500.0000001,279944999.999999,9363959.47479194,3858947.8446812,3858947.8446812,39390501.8761639,28306710.8835101,1996897500,1858250000.00005,267367500.000003,594180000.000008,79293249.9999986,40517461.1858561
FBtr0070079,CG3156,A0A3Q7YTD7,3858947.8446812,3858947.8446812,8073715.22040029,9196550.22758006,19812094.2668687,29708028.590298,34476416.8690671,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,56388699.6519139,74705749.9999998,58491077.4383441,55961623.6715944
FBtr0070088,arg,O76895,3858947.8446812,3858947.8446812,3858947.8446812,29332834.1160824,486224999.999998,476632500.000001,483482499.999995,502357500.000001,799575000.000002,1013440000.00001,1107815000.00001,1175765000.00001,953399999.999995,636122500.000016,549457500.000002,363237499.999998,372165000.000003
FBtr0334033;FBtr0100476;FBtr0100475;FBtr0070090;FBtr0070089,CG4293,M9PGB8,15573474.611869,28212620.0872484,50683500.0000004,59272500.0000004,12964763.9324724,8150293.5402282,3858947.8446812,3858947.8446812,3858947.8446812,7818534.48418952,11406380.7820951,3858947.8446812,3858947.8446812,6333473.33438775,19620993.3326912,6716622.90227286,4874230.13232846
FBtr0114366;FBtr0100254;FBtr0307173;FBtr0070091,elav,P16914,16159767.8879142,21530941.5984783,587952499.999987,1249019999.99999,578877500.000002,204930000.000001,187939999.999998,147497499.999999,190727499.999996,558272499.999995,557207499.99999,343120000,445354999.999995,349782499.999999,310852500,104437250,108352401.462976
FBtr0070093;FBtr0070092,CG17896,Q7KW39,3013000000.00004,2603399999.99999,2581699999.99997,2544299999.99995,8187850000.00012,8555175000.00002,8759374999.99988,10039525000.0001,11704500000.0001,7484250000.0001,7024850000,5922974999.99995,5574075000.00003,4102774999.99996,3547024999.99999,5974549999.99997,7093224999.99991
FBtr0070094,CG18273,Q9I7Z8,163042500,216827000.000002,547325000.00001,711497499.999999,1886250000,1229280000.00002,1375275000,79066250.0000004,3858947.8446812,7527029.21294643,5630171.41622462,5243555.86663308,3858947.8446812,6424915.45097021,6398271.27982005,67234223.9223405,3858947.8446812
FBtr0070098;FBtr0339442;FBtr0339443,ebo,Q9W5G1,85585249.9999995,142492499.999999,99746307.8892252,89442750.000001,9230375.37745521,3858947.8446812,29564894.1649785,25795261.1448716,3858947.8446812,15020335.0983848,16259056.2228249,7811486.35514412,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812
