Phylostratum (ps),Protein_ID,Locus_tag,UniProt,T_LC,T_6H,T_12H,T_1D,T_2D,T_3D,T_5D,T_7D,T_14D,T_1M,T_2M,P_LC,P_12H,P_1D,P_2D,P_7D
1,AQZ89009.1,B4U62_00630,Q06753,8.42e-05,4.22e-05,6.38e-05,3.78e-05,4.66e-05,3.73e-05,3.54e-05,3.65e-05,4.69e-05,1.98e-05,5.69e-06,0.000148954,9.76e-06,1.98e-05,5.8e-05,9.62e-06
1,AQZ89010.1,B4U62_00635,P37574,1.9e-05,3.23e-05,3.64e-05,2.55e-05,3.38e-05,2.18e-05,2.32e-05,1.85e-05,2.99e-05,1.4e-05,2.85e-06,8.49e-06,4.57e-06,3.87e-06,1.46e-05,0
1,AQZ89014.1,B4U62_00655,Q06795,6.79e-05,0.000579314,0.00032525,0.000377342,0.000272424,0.000168632,0.000294392,0.000177015,6.29e-05,9.52e-05,2.35e-05,0.00051771,0.000714644,0.000599156,0.000338859,0.000194092
1,AQZ89015.1,B4U62_00660,A7Z0M4,0.002038609,0.00866268,0.003557364,0.003941927,0.00294888,0.002116473,0.00269064,0.001623964,0.000514969,0.000977343,0.000213919,0.00053705,0.002670992,0.00230764,0.002145362,0.000627187
1,AQZ89016.1,B4U62_00665,Q06797,0.001214135,0.003902034,0.001754594,0.001924544,0.001407614,0.000989802,0.001463138,0.000842639,0.00039658,0.00050735,0.000153726,0.00455711,0.002437378,0.004208766,0.003998053,0.000624241
1,AQZ89017.1,B4U62_00670,P42923,0.000469171,0.006424018,0.002715123,0.002594951,0.001635008,0.001049454,0.001662418,0.000947541,0.000269211,0.000505108,0.000116238,0.004686166,0.001705386,0.003651441,0.002608486,0.000713418
1,AQZ89018.1,B4U62_00675,A7Z0M7,0.000578839,0.005435638,0.001990373,0.002205741,0.001448344,0.000965893,0.001392311,0.000768883,0.000214973,0.00039994,9.53e-05,0.001259473,0.00778555,0.028210058,0.005239824,0.001592724
1,AQZ89019.1,B4U62_00680,P37872,1.94e-05,0.00010963,4.74e-05,5.96e-05,7.32e-05,5.95e-05,7.95e-05,4.87e-05,4.04e-05,2.64e-05,7.64e-06,5.61e-05,8.72e-06,1.15e-05,9.46e-06,0
1,AQZ89020.1,B4U62_00685,P37870,0.002327616,0.000873842,0.000607852,0.00062671,0.000651072,0.000547581,0.000709905,0.000525152,0.00072753,0.000354498,9.14e-05,0.001044153,0.000471123,0.00030749,0.000687109,0.000247598
1,AQZ89021.1,B4U62_00690,P37871,0.007661402,0.000900999,0.000795172,0.00063084,0.000718513,0.000625879,0.000732366,0.000640444,0.000794643,0.000420161,0.000138143,0.001509146,0.0006183,0.000166237,0.000647563,0.000204059
1,AQZ89022.1,B4U62_00695,P46350,0.002327388,0.003768148,0.001940788,0.002050341,0.00197745,0.001523749,0.001936882,0.00122878,0.000430216,0.000770254,0.000255404,NA,NA,NA,NA,NA
1,AQZ89023.1,B4U62_00700,P21472,0.0029711,0.003633712,0.001907113,0.001818381,0.001704577,0.001150179,0.001569575,0.000965643,0.00082005,0.000627629,0.000158059,0.004527614,0.003624957,0.00300155,0.002201367,0.000482082
1,AQZ89024.1,B4U62_00705,P21469,0.003736997,0.00368655,0.002058655,0.001956308,0.001810181,0.001288737,0.001718852,0.001066622,0.000495202,0.00072701,0.000221934,0.01274221,0.003566515,0.014990126,0.006577979,0.000813087
1,AQZ89025.1,B4U62_00710,P80868,0.004543815,0.004397139,0.002434925,0.0023909,0.002052756,0.0014696,0.001988455,0.001258377,0.00143599,0.000899343,0.000300797,0.007373964,0.001759896,0.000937293,0.002911563,0.000786858
1,AQZ89026.1,B4U62_00715,P33166,0.007027134,0.009202274,0.006335679,0.005275175,0.004393156,0.003130353,0.003446633,0.00242425,0.002430506,0.001627574,0.000461546,0.064862488,0.011213496,0.009016998,0.016806983,0.008655443
1,AQZ89027.1,B4U62_00720,P70981,8.49e-06,1.63e-05,1.43e-05,1.8e-05,1.81e-05,2.16e-05,2.04e-05,2.24e-05,1.53e-05,1.11e-05,1.78e-06,NA,NA,NA,NA,NA
1,AQZ89028.1,B4U62_00725,A7Z0N7,0.00086216,0.002844086,0.001323151,0.001435807,0.001195421,0.000728737,0.001163561,0.000673465,0.000225004,0.0003975,9.58e-05,0.004247403,0.003737832,0.010440735,0.004143272,0.000240254
1,AQZ89029.1,B4U62_00730,P42920,0.001839135,0.001975886,0.000996728,0.000951857,0.000875307,0.000550043,0.000842165,0.000514111,0.000324919,0.000380057,8.24e-05,0.00576644,0.002445165,0.003357645,0.002632864,0.000269989
1,AQZ89030.1,B4U62_00735,P42921,0.001757023,0.001396392,0.000651487,0.000688577,0.000638462,0.000410548,0.000588509,0.000367188,0.000309471,0.000284462,0.000102307,0.02157124,0.008799479,0.009016998,0.007167242,0.001369134
1,AQZ89031.1,B4U62_00740,A7Z0P0,0.001318879,0.000850513,0.000454325,0.000424383,0.000395557,0.000259812,0.000349319,0.000222794,0.000164739,0.000199489,5.46e-05,0.007616879,0.001697599,0.002147469,0.002881903,0.000185174
1,AQZ89032.1,B4U62_00745,P42919,0.003018662,0.001778271,0.000960772,0.00088648,0.000883874,0.000552759,0.000758798,0.00052225,0.000476574,0.00038399,0.000113943,0.000725984,0.002576563,0.001229959,0.00143101,0.000382413
1,AQZ89033.1,B4U62_00750,A7Z0P2,0.002460774,0.001151665,0.00073643,0.00061009,0.000676212,0.000421692,0.000565236,0.000396152,0.000277209,0.000299068,0.000113097,0.000930594,0.005918234,0.007187573,0.002664401,0.000274876
1,AQZ89034.1,B4U62_00755,A7Z0P3,0.002057326,0.000855743,0.000561732,0.000450008,0.00050415,0.000342067,0.000426263,0.000322558,0.00035598,0.000190288,9.01e-05,0.00982212,0.002071382,0.008186485,0.003583717,0.000410216
1,AQZ89035.1,B4U62_00760,P21465,0.002554139,0.000993663,0.000673261,0.000531382,0.000545683,0.000376091,0.000480222,0.000412715,0.000487333,0.000261947,9.36e-05,0.014385786,0.002850097,0.003305515,0.002832471,0.000503589
1,AQZ89036.1,B4U62_00765,P14577,0.002048791,0.000683529,0.000539424,0.00037285,0.000424834,0.000272418,0.000336267,0.00028599,0.000346413,0.000214367,8.09e-05,0.005235515,0.00294972,0.001787284,0.001647978,0.000506212
1,AQZ89037.1,B4U62_00770,A7Z0P6,0.001014092,0.000337413,0.000245682,0.000163516,0.000193542,0.000120964,0.000143135,0.000112419,6.98e-05,8.79e-05,3.7e-05,0.000188934,0.004360804,0.004852569,0.002306564,0.000183228
1,AQZ89038.1,B4U62_00775,P12874,0.002533704,0.000711963,0.000524626,0.000403812,0.000445374,0.000262576,0.000339876,0.000288029,0.000103986,0.000209491,9.23e-05,0.017402556,0.001082414,0.002786626,0.005437553,6.24e-05
1,AQZ89039.1,B4U62_00780,P12875,0.002842286,0.000783938,0.000603698,0.000440796,0.000504677,0.000304421,0.000369905,0.000338175,0.000233703,0.000227328,9.44e-05,0.008048304,0.002123443,0.001585494,0.00304503,0.000605503
1,AQZ89040.1,B4U62_00785,A7Z0P9,0.0025774,0.000678067,0.000590431,0.000389632,0.000442406,0.000286844,0.000330307,0.000346114,0.000219014,0.000179872,7.58e-05,2.92e-05,0.001168072,0.005448334,0.00110234,0.000121688
1,AQZ89041.1,B4U62_00790,P12877,0.003111026,0.000834294,0.000759237,0.00048689,0.000569517,0.000338171,0.000413133,0.000440544,0.000427147,0.000244528,0.000131081,0.015780283,0.002040233,0.005991558,0.00643589,0.00026386
1,AQZ89042.1,B4U62_00795,A7Z0Q1,0.001686838,0.000505822,0.000430899,0.000276375,0.000315252,0.000238195,0.000228721,0.000277776,0.000152406,0.000148671,8.32e-05,0.000101162,0.001837767,0.001216418,4.38e-05,4.04e-05
1,AQZ89043.1,B4U62_00800,P12879,0.00303875,0.000848834,0.000799239,0.000487079,0.000528367,0.000335801,0.000400012,0.000426224,0.000175747,0.000220534,0.000135571,0.012830698,0.007343282,0.007677635,0.004147544,0.000566674
1,AQZ89044.1,B4U62_00805,P46898,0.003000129,0.000834486,0.00082192,0.000482612,0.000551544,0.000331533,0.000403763,0.000438429,0.000358074,0.000242403,8.96e-05,0.00584018,0.002780012,0.005813591,0.004735615,0.000592767
1,AQZ89045.1,B4U62_00810,P46899,0.002821586,0.000751808,0.0007837,0.000437709,0.000475714,0.00029968,0.000350223,0.000401,0.000436496,0.000207018,7.55e-05,0.000579594,0.002367293,0.00274819,0.001110568,0.000100718
1,AQZ89046.1,B4U62_00820,A7Z0Q6,0.001253086,0.000409457,0.000483499,0.000243941,0.000262528,0.000156631,0.00022095,0.000153509,8.12e-05,0.000106737,1.96e-05,0.004686166,0.000742115,0.005766133,0.004083108,0.000103341
1,AQZ89047.1,B4U62_00825,P19946,0.003521588,0.000919426,0.001044981,0.000571388,0.000593267,0.000384928,0.000494347,0.000529463,0.000338317,0.00030555,8.18e-05,0.000702181,0.002811161,0.00874424,0.001784506,0.000104914
1,AQZ89048.1,B4U62_00830,P16336,0.001507302,0.001082302,0.00129131,0.000820193,0.000683388,0.000397452,0.000530304,0.000568802,0.000811147,0.000379555,0.00018143,0.000704951,0.00021804,6.7e-05,0.000177462,9.28e-05
1,AQZ89049.1,B4U62_00835,P16304,0.000655929,0.000926372,0.001095064,0.000725373,0.000565281,0.000364821,0.000451316,0.000522142,0.000376416,0.000301356,0.000130214,5.07e-05,0.000255419,0.000191611,6.7e-05,9.37e-06
1,AQZ89050.1,B4U62_00840,P19994,0.000426611,0.000828411,0.000710162,0.000544957,0.000511384,0.000322221,0.000433991,0.000456853,0.000373094,0.000243966,6.3e-05,3.48e-05,8.6e-05,1.61e-05,4.24e-05,6.86e-06
1,AQZ89052.1,B4U62_00850,A7Z0R1,0.000353327,0.000763615,0.000644524,0.000450075,0.000428687,0.000308432,0.000426864,0.000403054,0.000220731,0.000218224,0.000152428,0.000471934,0.001487346,0.002565618,0.000352947,0.000154713
1,AQZ89053.1,B4U62_00855,A0PXX1,0.000140036,0.000348449,0.000349472,0.000223553,0.000225979,0.000160761,0.000164967,0.000159237,8.38e-05,9.77e-05,2.03e-05,0.000803222,0.004362387,0.002575227,0.001571947,0.000623061
1,AQZ89054.1,B4U62_00860,P20282,0.000444705,0.000840943,0.00093717,0.000514323,0.000545673,0.000415019,0.00048397,0.000437022,0.000415797,0.000273594,6.79e-05,0.005987659,0.003021414,0.003737922,0.001550465,0.000755384
